cacheSize,blockSize,associativity,writeBack,writeAllocate,missRate,totalCycles
32768,1,1,1,1,0.297045,809091
32768,1,1,1,0,0.321425,796188
32768,1,1,0,1,0.297045,1047835
32768,1,1,0,0,0.321425,1053316
32768,1,2,1,1,0.276311,763362
32768,1,2,1,0,0.308261,766962
32768,1,2,0,1,0.276311,1022058
32768,1,2,0,0,0.308261,1030450
32768,1,4,1,1,0.26445,734921
32768,1,4,1,0,0.297398,744497
32768,1,4,0,1,0.26445,1009313
32768,1,4,0,0,0.297398,1017401
32768,1,8,1,1,0.256837,718172
32768,1,8,1,0,0.289801,729616
32768,1,8,0,1,0.256837,998924
32768,1,8,0,0,0.289801,1006880
32768,1,16,1,1,0.254696,713574
32768,1,16,1,0,0.288602,727111
32768,1,16,0,1,0.254696,996110
32768,1,16,0,0,0.288602,1005175
32768,1,32,1,1,0.254244,712687
32768,1,32,1,0,0.288456,726625
32768,1,32,0,1,0.254244,995503
32768,1,32,0,0,0.288456,1004953
32768,2,1,1,1,0.297045,809091
32768,2,1,1,0,0.321425,796188
32768,2,1,0,1,0.297045,1047835
32768,2,1,0,0,0.321425,1053316
32768,2,2,1,1,0.276311,763362
32768,2,2,1,0,0.308261,766962
32768,2,2,0,1,0.276311,1022058
32768,2,2,0,0,0.308261,1030450
32768,2,4,1,1,0.26445,734921
32768,2,4,1,0,0.297398,744497
32768,2,4,0,1,0.26445,1009313
32768,2,4,0,0,0.297398,1017401
32768,2,8,1,1,0.256837,718172
32768,2,8,1,0,0.289801,729616
32768,2,8,0,1,0.256837,998924
32768,2,8,0,0,0.289801,1006880
32768,2,16,1,1,0.254696,713574
32768,2,16,1,0,0.288602,727111
32768,2,16,0,1,0.254696,996110
32768,2,16,0,0,0.288602,1005175
32768,2,32,1,1,0.254244,712687
32768,2,32,1,0,0.288456,726625
32768,2,32,0,1,0.254244,995503
32768,2,32,0,0,0.288456,1004953
32768,4,1,1,1,0.297045,809091
32768,4,1,1,0,0.321425,796188
32768,4,1,0,1,0.297045,1047835
32768,4,1,0,0,0.321425,1053316
32768,4,2,1,1,0.276311,763362
32768,4,2,1,0,0.308261,766962
32768,4,2,0,1,0.276311,1022058
32768,4,2,0,0,0.308261,1030450
32768,4,4,1,1,0.26445,734921
32768,4,4,1,0,0.297398,744497
32768,4,4,0,1,0.26445,1009313
32768,4,4,0,0,0.297398,1017401
32768,4,8,1,1,0.256837,718172
32768,4,8,1,0,0.289801,729616
32768,4,8,0,1,0.256837,998924
32768,4,8,0,0,0.289801,1006880
32768,4,16,1,1,0.254696,713574
32768,4,16,1,0,0.288602,727111
32768,4,16,0,1,0.254696,996110
32768,4,16,0,0,0.288602,1005175
32768,4,32,1,1,0.254244,712687
32768,4,32,1,0,0.288456,726625
32768,4,32,0,1,0.254244,995503
32768,4,32,0,0,0.288456,1004953
32768,8,1,1,1,0.297045,809091
32768,8,1,1,0,0.321425,796188
32768,8,1,0,1,0.297045,1047835
32768,8,1,0,0,0.321425,1053316
32768,8,2,1,1,0.276311,763362
32768,8,2,1,0,0.308261,766962
32768,8,2,0,1,0.276311,1022058
32768,8,2,0,0,0.308261,1030450
32768,8,4,1,1,0.26445,734921
32768,8,4,1,0,0.297398,744497
32768,8,4,0,1,0.26445,1009313
32768,8,4,0,0,0.297398,1017401
32768,8,8,1,1,0.256837,718172
32768,8,8,1,0,0.289801,729616
32768,8,8,0,1,0.256837,998924
32768,8,8,0,0,0.289801,1006880
32768,8,16,1,1,0.254696,713574
32768,8,16,1,0,0.288602,727111
32768,8,16,0,1,0.254696,996110
32768,8,16,0,0,0.288602,1005175
32768,8,32,1,1,0.254244,712687
32768,8,32,1,0,0.288456,726625
32768,8,32,0,1,0.254244,995503
32768,8,32,0,0,0.288456,1004953
32768,16,1,1,1,0.257112,741268
32768,16,1,1,0,0.281814,735770
32768,16,1,0,1,0.257112,992756
32768,16,1,0,0,0.281814,1011330
32768,16,2,1,1,0.237474,698108
32768,16,2,1,0,0.261995,693644
32768,16,2,0,1,0.237474,965020
32768,16,2,0,0,0.261995,982452
32768,16,4,1,1,0.225432,669821
