cacheSize,blockSize,associativity,writeBack,writeAllocate,missRate,totalCycles
32768,1,1,1,1,0.906861,1585260
32768,1,1,1,0,0.906867,1197011
32768,1,1,0,1,0.906861,1197012
32768,1,1,0,0,0.906867,1197011
32768,1,2,1,1,0.906793,1585175
32768,1,2,1,0,0.906824,1196962
32768,1,2,0,1,0.906793,1196935
32768,1,2,0,0,0.906824,1196962
32768,1,4,1,1,0.906793,1579807
32768,1,4,1,0,0.906824,1196962
32768,1,4,0,1,0.906793,1196935
32768,1,4,0,0,0.906824,1196962
32768,1,8,1,1,0.906793,1579807
32768,1,8,1,0,0.906824,1196962
32768,1,8,0,1,0.906793,1196935
32768,1,8,0,0,0.906824,1196962
32768,1,16,1,1,0.906793,1579807
32768,1,16,1,0,0.906824,1196962
32768,1,16,0,1,0.906793,1196935
32768,1,16,0,0,0.906824,1196962
32768,1,32,1,1,0.906793,1579807
32768,1,32,1,0,0.906824,1196962
32768,1,32,0,1,0.906793,1196935
32768,1,32,0,0,0.906824,1196962
32768,2,1,1,1,0.906861,1585260
32768,2,1,1,0,0.906867,1197011
32768,2,1,0,1,0.906861,1197012
32768,2,1,0,0,0.906867,1197011
32768,2,2,1,1,0.906793,1585175
32768,2,2,1,0,0.906824,1196962
32768,2,2,0,1,0.906793,1196935
32768,2,2,0,0,0.906824,1196962
32768,2,4,1,1,0.906793,1579807
32768,2,4,1,0,0.906824,1196962
32768,2,4,0,1,0.906793,1196935
32768,2,4,0,0,0.906824,1196962
32768,2,8,1,1,0.906793,1579807
32768,2,8,1,0,0.906824,1196962
32768,2,8,0,1,0.906793,1196935
32768,2,8,0,0,0.906824,1196962
32768,2,16,1,1,0.906793,1579807
32768,2,16,1,0,0.906824,1196962
32768,2,16,0,1,0.906793,1196935
32768,2,16,0,0,0.906824,1196962
32768,2,32,1,1,0.906793,1579807
32768,2,32,1,0,0.906824,1196962
32768,2,32,0,1,0.906793,1196935
32768,2,32,0,0,0.906824,1196962
32768,4,1,1,1,0.906861,1585260
32768,4,1,1,0,0.906867,1197011
32768,4,1,0,1,0.906861,1197012
32768,4,1,0,0,0.906867,1197011
32768,4,2,1,1,0.906793,1585175
32768,4,2,1,0,0.906824,1196962
32768,4,2,0,1,0.906793,1196935
32768,4,2,0,0,0.906824,1196962
32768,4,4,1,1,0.906793,1579807
32768,4,4,1,0,0.906824,1196962
32768,4,4,0,1,0.906793,1196935
32768,4,4,0,0,0.906824,1196962
32768,4,8,1,1,0.906793,1579807
32768,4,8,1,0,0.906824,1196962
32768,4,8,0,1,0.906793,1196935
32768,4,8,0,0,0.906824,1196962
32768,4,16,1,1,0.906793,1579807
32768,4,16,1,0,0.906824,1196962
32768,4,16,0,1,0.906793,1196935
32768,4,16,0,0,0.906824,1196962
32768,4,32,1,1,0.906793,1579807
32768,4,32,1,0,0.906824,1196962
32768,4,32,0,1,0.906793,1196935
32768,4,32,0,0,0.906824,1196962
32768,8,1,1,1,0.906861,1585268
32768,8,1,1,0,0.906867,1197011
32768,8,1,0,1,0.906861,1197012
32768,8,1,0,0,0.906867,1197011
32768,8,2,1,1,0.906793,1585183
32768,8,2,1,0,0.906824,1196962
32768,8,2,0,1,0.906793,1196935
32768,8,2,0,0,0.906824,1196962
32768,8,4,1,1,0.906793,1579815
32768,8,4,1,0,0.906824,1196962
32768,8,4,0,1,0.906793,1196935
32768,8,4,0,0,0.906824,1196962
32768,8,8,1,1,0.906793,1579815
32768,8,8,1,0,0.906824,1196962
32768,8,8,0,1,0.906793,1196935
32768,8,8,0,0,0.906824,1196962
32768,8,16,1,1,0.906793,1579815
32768,8,16,1,0,0.906824,1196962
32768,8,16,0,1,0.906793,1196935
32768,8,16,0,0,0.906824,1196962
32768,8,32,1,1,0.906793,1579815
32768,8,32,1,0,0.906824,1196962
32768,8,32,0,1,0.906793,1196935
